争论,主题
自动驾驶汽车是一个道德上的灰色区域，等待发生，并且在解决关于风险所有权、安全顾虑、潜在黑客攻击和滥用问题之前，开发应该被停止。,我们应该停止自动驾驶汽车的发展
自动驾驶汽车是朝着一个由人工智能控制的世界迈出的一步，人类只会是次要的。,我们应该停止自动驾驶汽车的开发。
自动驾驶汽车是自动化的一步之遥。在道路上依赖自动化，面对如此多可能发生的不可预测事件，这是走得太远了。,我们应该停止自动驾驶汽车的发展
自动驾驶汽车是未来的发展方向。,我们应该停止自动驾驶汽车的发展
自动驾驶汽车也是未来之一，因为它们可以自主操作，它们将鼓励安全驾驶、停车和交通。燃油效率也将得到提高。,我们应该停止自动驾驶汽车的发展
自动驾驶汽车是一场即将发生的事故。,我们应该停止自动驾驶汽车的发展。
自动驾驶汽车基本上是巨大的移动机器人，因此，如果计算机系统出现故障，车辆可能会伤害或杀人。,我们应该停止自动驾驶汽车的开发
自动驾驶汽车是电脑化的，容易受到黑客攻击。一旦被攻击，它们可能变成一种危险武器，不仅危及驾驶员自己，还可能危及周围所有人。,我们应该停止自动驾驶汽车的发展
自动驾驶汽车是危险的，使我们离失去人性更近了一步。,我们应该停止自动驾驶汽车的发展
自动驾驶汽车很危险，会让人懒惰。,我们应该停止自动驾驶车辆的发展
自动驾驶汽车是危险的，不应该被允许。我们都知道技术经常会出现故障，让某人将自己的生命（以及周围人的生命）置于危险之中是没有必要的。,我们应该停止自动驾驶汽车的发展
自动驾驶汽车是危险的，我们应该停止它们的开发。,我们应该停止自动驾驶汽车的发展
自动驾驶汽车是危险的，只会导致死亡。,我们应该停止自动驾驶汽车的发展
自动驾驶汽车是危险的，因为在紧急情况下它们无法做出明智的决策。,我们应该停止自动驾驶汽车的发展
自动驾驶汽车是危险的，因为它们是由计算机操作的，计算机可能会发生故障或被入侵。,我们应该停止自动驾驶汽车的发展。
自动驾驶汽车存在危险，因为它们可能会被黑客攻击。,我们应该停止自动驾驶汽车的发展
自动驾驶汽车危险在于它无法像人类一样做出瞬间决策。,我们应该停止自动驾驶汽车的发展
自动驾驶汽车是危险的，比任何一个单独的人都更危险。我们正在信任一个计算机程序来做生死决定。,我们应该停止自动驾驶汽车的开发。
自动驾驶汽车是危险的。它们依赖可能会出现故障的机械设备。已经发生过可怕的事故，有人因为这些车辆而丧生。,我们应该停止自动驾驶汽车的发展
无人驾驶汽车处于起步阶段，其背后的技术已经显示出了故障。,我们应该停止自动驾驶汽车的发展
自动驾驶汽车容易受到黑客攻击，这可能会带来危险。,我们应该停止自动驾驶汽车的发展
自动驾驶汽车更有可能发生事故，因为它们消除了在意外情况下人类响应和纠正的可能性。,我们应该停止自动驾驶汽车的发展
自动驾驶汽车很可能比人为驾驶的汽车更安全，因为它们消除了人为驾驶错误的因素。,我们应该停止自动驾驶汽车的发展
自动驾驶车辆是满足我们要求的机器。它们缺乏人类思维过程，而这种思维过程在驾驶中需要做出分秒决策时至关重要。,我们应该停止自动驾驶汽车的发展
自动驾驶汽车并不比分心的驾驶员更危险，而自动驾驶技术可以让驾驶者完成其他任务。,我们应该停止自动驾驶汽车的发展。
自动驾驶汽车无法对需要做出决策的特定情况作出反应。,我们应该停止自动驾驶汽车的发展
自动驾驶汽车不具备人类情感，而这种情感在驾驶时遇到问题时可能有助于决策。,我们应该停止自动驾驶汽车的发展
自动驾驶汽车目前还不够可靠，无法完全依赖它们能够正常运行。,我们应该停止自动驾驶汽车的发展
自动驾驶汽车不符合道路安全标准，可能会导致更多事故，因为汽车的编程无法预测人类的决策。,我们应该停止自动驾驶汽车的发展
自动驾驶汽车并不安全，因为由于软件故障可以导致事故，从而危及人们的生命，因此继续投资于它们没有意义。,我们应该停止自动驾驶汽车的发展
自动驾驶汽车在安全方面并非全方位可信。我们无法相信机器人及其在某种情况下以人类方式做出反应的能力。,我们应该停止自动驾驶汽车的发展
自动驾驶汽车现在已经成为未来的现实，有一些州已经拥有了它们。,我们应该停止自动驾驶汽车的发展
自动驾驶汽车是我们的未来，并提供许多好处。,我们应该停止自动驾驶汽车的发展
自动驾驶汽车是我们综合社会发展的一部分，它符合我们生活在现代、复杂时代的特点。,我们应该停止自动驾驶汽车的发展
自动驾驶汽车与技术控制更危险操作完全没问题,我们应该停止自动驾驶汽车的研发。
自动驾驶汽车潜在地比人类驾驶的汽车安全得多。人类可能会分心，例如盯着窗外看，而机器永远不会如此。,我们应该停止自动驾驶汽车的发展
自动驾驶汽车价格昂贵。,我们应该停止自动驾驶汽车的发展
自动驾驶汽车正在证明是危险的，有太多变量涉及到安全操作，它们的开发应该停止。,我们应该停止自动驾驶汽车的发展
自动驾驶汽车更安全，因为它们不会在驾驶时睡着、酒驾，或是让“注意力”离开道路。,我们应该停止自动驾驶汽车的发展
自动驾驶汽车更安全，因为它们消除了人为错误。,我们应该停止自动驾驶汽车的发展
自动驾驶汽车比人类驾驶的汽车更安全，因为它们不会感到疲倦，不会分心，也不会酒后驾车。,我们应该停止自动驾驶汽车的发展
自动驾驶汽车仅仅是交通运输的下一个合乎逻辑的发展阶段。多年前人们可能会说所有的汽车都很危险，我们应该继续使用马车而不是汽车。,我们应该停止自动驾驶汽车的发展
自动驾驶汽车在日益拥挤的世界中对未来非常有价值，因此我们需要更多地投资于它们。,我们应该停止自动驾驶汽车的发展
无人驾驶汽车仍处于发展的初期阶段 —— 投入更多时间和精力在它们的研发上，它们将成为一种可行的交通方式。,我们应该停止自动驾驶汽车的发展
自动驾驶汽车仍未经实证验证。,我们应该停止自动驾驶汽车的发展
自动驾驶汽车是更安全的未来选择，可以减少死亡人数。,我们应该停止自动驾驶汽车的发展
自动驾驶汽车是未来的方向，一些城市已经开始使用它们。,我们应该停止自动驾驶汽车的发展
自动驾驶汽车是未来的安全保障，不再会因为人们疲倦、醉酒或生病而发生事故，汽车始终凭借纯机器逻辑工作，不受情绪或外部因素的影响。,我们应该停止自动驾驶汽车的发展
自动驾驶汽车是汽车行业的未来，无疑是减少因人为错误导致的与汽车相关的死亡事故的最佳方式。,我们应该停止自动驾驶汽车的发展
自动驾驶汽车是未来的发展方向，它们可能比人类驾驶员更安全，应该继续推动它们的发展。,我们应该停止自动驾驶汽车的发展
自动驾驶汽车是未来趋势。比酒后驾车更安全。,我们应该停止自动驾驶汽车的发展
自动驾驶汽车是确保那些无法获得交通工具或驾驶能力的人仍能出行的唯一途径。,我们应该停止自动驾驶车辆的发展
无人驾驶汽车是未来的发展方向,我们应该停止自动驾驶汽车的开发
自动驾驶汽车在道路上存在太大风险，黑客可能会找到方法接管控制权并导致事故。,我们应该停止自动驾驶汽车的发展
自动驾驶汽车太不可预测，也没有经过验证。,我们应该停止自动驾驶汽车的发展
自动驾驶汽车无法考虑到每一种可能的情况，因此在道路上更具危险性。,我们应该停止自动驾驶汽车的开发
自动驾驶车辆是不可预测的，我们不应该相信它们。,我们应该停止自动驾驶汽车的发展
自动驾驶汽车是不安全的。在驾驶过程中发生了太多的变量，计算机和人工智能无法高效地考虑和应对。,我们应该停止自动驾驶汽车的发展
自动驾驶汽车非常危险且测试不够充分。,我们应该停止自动驾驶汽车的发展
